# Created by: riboviz
# Date: 2025-09-09 21:53:34.507091
# File: /panfs/accrepfs.vampire/home/copea1/riboviz/rscripts/collate_tpms.R
# Version: commit c69a18f5feba3740b5dc9c6bee1fcb94cf3a0b6c date 2025-09-09 22:52:57 GMT
ORF	eRF1Depletion_1	CHX_1
YGL233W	9	9.7
YGL234W	243.7	312.2
YGL235W	0.1	0.1
YGL236C	3.2	3.5
YGL237C	22.4	14.1
YGL238W	38.8	40.7
YGL240W	7.8	6.9
YGL241W	8.2	9.9
YGL242C	72.9	81.5
YGL243W	15.3	11
YGL244W	65.9	61.6
YGL245W	409	506.3
YGL246C	16.9	17.4
YGL247W	10.8	5.8
YGL248W	9.3	8.6
YGL249W	0.1	0.1
YGL250W	8.1	5.1
YGL251C	0.4	0.3
YGL252C	22	24.1
YGL253W	606.3	776.7
YGL254W	15.4	14.4
YGL255W	16.4	49.3
YGL256W	4.4	7.1
YGL257C	5.7	8.7
YGL258W	0.4	0.1
YGL258W-A	0.1	0.1
YGL259W	0.7	0.8
YGL260W	0	0
YGL261C	0	0
YGL262W	0	0
YGL263W	1.5	1.6
YGR001C	86.8	72.6
YGR002C	13.5	10.6
YGR003W	6.3	5.8
YGR004W	6.9	11
YGR005C	37.7	32.9
YGR006W	14.3	12.8
YGR007W	13.9	30.3
YGR008C	71.2	47.7
YGR009C	36.7	31.2
YGR010W	16.7	12.9
YGR012W	21.1	19.2
YGR013W	10.4	9.3
YGR014W	43	59
YGR015C	3.8	3
YGR016W	8.4	4.6
YGR017W	23.3	18.9
YGR018C	1.2	0.5
YGR019W	30.5	22.1
YGR020C	284.3	231.1
YGR021W	8.1	7.9
YGR023W	1.4	1.7
YGR024C	15.8	19.9
YGR026W	94.8	99.7
YGR027C	3953.5	3324.5
YGR028W	11.4	12.1
YGR029W	43.5	35
YGR030C	23	19.6
YGR031C-A	0	0.1
YGR031W	15.1	15.3
YGR032W	7	12
YGR033C	40.8	30.3
YGR034W	3125.9	2571.5
YGR035C	7.3	7.6
YGR035W-A	0	0.1
YGR036C	17.7	14.3
YGR037C	1005.1	708.5
YGR038W	47.9	47.1
YGR040W	9.4	8.4
YGR041W	9.2	10.1
YGR042W	4.1	4.1
YGR043C	1	1.6
YGR044C	34.2	27.7
YGR046W	5.4	7.7
YGR047C	7	7.9
YGR048W	49.6	28.8
YGR049W	37.3	32.9
YGR050C	8.4	3.4
YGR052W	2.8	1.6
YGR053C	0.7	0.7
YGR054W	73.5	88.5
YGR055W	71.1	118.7
YGR056W	13	12
YGR057C	3.1	4.2
YGR058W	16.7	10.5
YGR059W	0	0
YGR060W	319.1	402.4
YGR061C	88.2	163
YGR062C	5.7	3.5
YGR063C	160.3	94.5
YGR065C	17	10.4
YGR066C	0	0
YGR067C	0.3	0.2
YGR068C	5.8	5.7
YGR070W	0.8	0.6
YGR071C	1.7	4.1
YGR072W	12.3	10.5
YGR074W	67.3	49.1
YGR075C	10.5	7.5
YGR076C	37.4	24.6
YGR077C	6.5	6.1
YGR078C	49.7	114.1
YGR079W	31.5	31.4
YGR080W	76.2	48
YGR081C	63.3	40.8
YGR082W	124.2	136.2
YGR083C	59.7	52.4
YGR084C	35.2	19
YGR085C	3139.6	2977.8
YGR086C	372	424.7
YGR087C	8.1	11.8
YGR088W	2	0.9
YGR089W	4.9	5.9
YGR090W	22	28.5
YGR091W	7	6.4
YGR092W	19.7	17
YGR093W	9.2	14.2
YGR094W	221.1	236.4
YGR095C	25.7	30.6
YGR096W	1.9	2.7
YGR097W	9.2	8.3
YGR098C	1.7	2.2
YGR099W	4.2	5.4
YGR100W	6.5	7.9
YGR101W	16.1	12.6
YGR102C	11.2	14.6
YGR103W	98.4	103.5
YGR104C	8.5	13.2
YGR105W	134.1	126.6
YGR106C	144.4	210.6
YGR108W	20.8	16.9
YGR109C	9.8	8.9
YGR110W	2.6	1.1
YGR111W	21	21
YGR112W	5.1	5.6
YGR113W	13.6	13.3
YGR116W	52.5	60.1
YGR117C	13.7	11.5
YGR118W	3446	4077
YGR119C	62.5	54.7
YGR120C	15.3	12.2
YGR121C	1.3	2.3
YGR121W-A	1.1	0.5
YGR122W	7.3	5.8
YGR123C	57.2	62.7
YGR124W	425	353.7
YGR125W	11.2	11.6
YGR126W	10.1	8.6
YGR127W	4.6	3.7
YGR128C	33.6	35.5
YGR129W	18	13.1
YGR130C	87	55.2
YGR131W	1.7	1.3
YGR132C	79.2	96.2
YGR133W	7.5	7.3
YGR134W	3.2	4
YGR135W	169.1	140.7
YGR136W	172.4	154.9
YGR138C	32.2	24.6
YGR140W	4.3	5.6
YGR141W	10.8	15.3
YGR142W	15.3	16.3
YGR143W	10.2	10.8
YGR144W	0.5	0.6
YGR145W	22.6	28
YGR146C	17.7	19.7
YGR146C-A	2.1	0.8
YGR147C	28.5	25
YGR148C	2160.9	1890.9
YGR149W	6.3	7.2
YGR150C	1.4	2.5
YGR152C	22.2	32.5
YGR153W	1.7	2.9
YGR154C	0.3	0.4
YGR155W	436.7	526.7
YGR156W	24.6	17.9
YGR157W	35.4	58
YGR158C	42	39.2
YGR159C	263.3	385.9
YGR161C	66.9	21.7
YGR161W-C	37.7	10.7
YGR162W	252.4	209
YGR163W	22.6	20.6
YGR165W	12.6	15
YGR166W	4.2	5.8
YGR167W	289.7	236
YGR168C	2.5	1.6
YGR169C	3.3	4.5
YGR169C-A	152.9	87.4
YGR170W	2.5	3.2
YGR171C	2.4	3.8
YGR172C	79.8	65.4
YGR173W	54.7	83.3
YGR174C	13.6	13.1
YGR174W-A	0.7	0.6
YGR175C	283.8	337.6
YGR177C	12.7	16
YGR178C	52.6	80.5
YGR179C	10.6	8
YGR180C	330.6	505.4
YGR181W	116.3	94.6
YGR183C	91.5	67.7
YGR184C	6.8	11.4
YGR185C	314.3	292.8
YGR186W	48.3	46.1
YGR187C	73.5	58.4
YGR188C	1.1	1.5
YGR189C	165.8	185.8
YGR191W	51.6	63.2
YGR192C	14280.2	19890.5
YGR193C	83.1	59.8
YGR194C	5.1	5.3
YGR195W	37.8	40.1
YGR196C	25.2	17.6
YGR197C	6.4	6.3
YGR198W	9.5	12
YGR199W	12.4	18.2
YGR200C	28.4	38.6
YGR201C	2.4	2
YGR202C	28.3	20.9
YGR203W	42	30.5
YGR204C-A	0	0
YGR204W	185.1	191.7
YGR205W	16.9	23.1
YGR206W	23.3	16.1
YGR207C	106.5	67.6
YGR208W	82.7	65.7
YGR209C	454.7	600.8
YGR210C	38.2	50.5
YGR211W	154.3	147.7
YGR212W	1.6	1.9
YGR213C	0.4	0.3
YGR214W	1680.4	1885.4
YGR215W	72.5	50
YGR216C	4	4.8
YGR217W	2.9	4.1
YGR218W	72.5	88.1
YGR220C	26.7	25.8
YGR221C	1.3	1.3
YGR222W	9	5.9
YGR223C	3.8	6.5
YGR224W	0.1	0.1
YGR225W	0.1	0.2
YGR227W	14.5	16.5
YGR229C	36.9	48.4
YGR230W	19.1	11.2
YGR231C	75.9	62.5
YGR232W	34.4	44.9
YGR233C	11.8	16.2
YGR234W	375.8	736.9
YGR235C	62.6	46.5
YGR236C	0.1	0.1
YGR237C	8.8	8
YGR238C	1.7	2.3
YGR239C	19	6.5
YGR240C	337.1	507.2
YGR240C-A	19.5	16.9
YGR241C	11	15.1
YGR243W	3.1	3
YGR244C	49.1	38.3
YGR245C	24.9	42.2
YGR246C	11.4	16.1
YGR247W	12	15.2
YGR248W	3.6	4
YGR249W	0.5	0.2
YGR250C	15.6	10.7
YGR251W	37	33
YGR252W	13.8	12.3
YGR253C	161.8	138
YGR254W	6388.8	8061.8
YGR255C	9.3	13.1
YGR256W	1.2	0.8
YGR257C	5.9	6.2
YGR258C	4	3.9
YGR260W	54	61.4
YGR261C	13.4	22.7
YGR262C	27.7	28.9
YGR263C	6.5	8.3
YGR264C	127.9	170.5
YGR266W	22.9	20.1
YGR267C	87.8	64.7
YGR268C	35.9	26
YGR270W	10	12.1
YGR271C-A	44.3	32.2
YGR271W	4.8	5.9
YGR273C	1.8	1.5
YGR274C	5.6	6.8
YGR275W	73.4	60.1
YGR276C	18.6	19.4
YGR277C	22.1	23.7
YGR278W	7.3	6.7
YGR279C	714.7	762.6
YGR280C	39.7	50.7
YGR281W	7	9.7
YGR282C	778.5	675.6
YGR283C	16.7	16.9
YGR284C	110.4	101.8
YGR285C	548.9	719.6
YGR286C	17.6	26
YGR287C	1	1.1
YGR288W	2.3	1.8
YGR289C	0.1	0.1
YGR292W	0.4	0.4
YGR294W	0.2	0.1
YGR295C	41.9	46.6
YGR296W	0.3	0.3
YHL001W	2378.2	2220.1
YHL002W	32.5	25.7
YHL003C	57	54.3
YHL004W	22.1	22.5
YHL006C	5.3	6.2
YHL007C	25.8	31.4
YHL008C	4	5.8
YHL009C	22.1	12.8
YHL010C	3.8	3.5
YHL011C	82.1	119.6
YHL012W	0.1	0.1
YHL013C	31.1	30.9
YHL014C	5.9	5.9
YHL015W	3498.1	4014.3
YHL015W-A	0.2	0
YHL016C	0.7	0.5
YHL017W	17.2	22.4
YHL018W	19.7	9.9
YHL019C	4.9	4.5
YHL020C	17	19.3
YHL021C	45.6	25.9
YHL022C	0.6	0.5
YHL023C	3.2	3.4
YHL024W	1.1	0.6
YHL025W	24.5	17.8
YHL026C	1.4	3.1
YHL027W	39.4	31.9
YHL028W	8	6.8
YHL029C	7	7.8
YHL030W	24.9	22.6
YHL031C	67.9	47.1
YHL032C	0.8	1.2
YHL033C	1882.4	2000
YHL034C	466.4	385.6
YHL035C	0.7	0.9
YHL036W	1.2	2
YHL038C	4.2	5.6
YHL039W	21.4	23.5
YHL040C	6.3	8.3
YHL042W	1.3	1.2
YHL043W	0.1	0
YHL044W	2	2.5
YHL046C	0.2	0.1
YHL047C	1.5	2.4
YHL048C-A	0.1	0
YHL048W	11.6	14.5
YHL049C	0.3	0.2
YHL050C	0	0
YHR001W	41.8	44.5
YHR001W-A	118.3	88.7
YHR002W	3.5	3.3
YHR003C	20.5	21.9
YHR004C	3.4	2.9
YHR005C	27.5	43.5
YHR005C-A	348.4	309
YHR006W	28.1	16
YHR007C	159.5	249.9
YHR007C-A	45	59.6
YHR008C	145.7	165.1
YHR009C	21.4	26
YHR010W	3342.2	2673.9
YHR011W	5.9	3.1
YHR012W	31.8	33.3
YHR013C	62.6	82.2
YHR014W	0.1	0
YHR015W	409.2	332
YHR016C	21.3	22.5
YHR017W	11.2	9.9
YHR018C	289.9	49.2
YHR019C	212.3	427.8
YHR020W	302.2	292.3
YHR021C	3053	2713.4
YHR021W-A	0.7	0.4
YHR022C	1.2	0.5
YHR022C-A	2.4	0.9
YHR023W	8.8	8.7
YHR024C	24.4	29.5
YHR025W	131.1	211.4
YHR026W	209.3	239.3
YHR027C	143.3	139.7
YHR028C	19	21.6
YHR029C	41.2	21.6
YHR030C	42.4	23.4
YHR031C	4.3	5.4
YHR032W	38.4	31.7
YHR033W	0.2	0.3
YHR034C	10.3	14.4
YHR035W	1.2	1.2
YHR036W	14.6	12.5
YHR037W	32.6	46.1
YHR038W	17	11.8
YHR039C	16.6	41.4
YHR039C-A	782.2	748.1
YHR040W	12.2	13.2
YHR041C	17.6	26
YHR042W	50.3	102.8
YHR043C	24.8	26.7
YHR044C	9.5	11.1
YHR045W	12.3	13.8
YHR046C	21.2	24
YHR047C	61.1	84.7
YHR048W	0.6	1.5
YHR049W	73.4	97.1
YHR050W	6.2	22.8
YHR050W-A	130.7	93.6
YHR051W	120.5	102.4
YHR052W	76.3	70.8
YHR053C	1217.5	1051.3
YHR054C	13.6	10.9
YHR055C	1219.1	1050.9
YHR056C	12.4	11.8
YHR057C	32.1	41.6
YHR058C	20.8	23.6
YHR059W	23.7	23.4
YHR060W	22.4	27.7
YHR061C	11.5	10
YHR062C	21.8	27.3
YHR063C	51.5	58
YHR064C	320.9	525.6
YHR065C	43.1	50.4
YHR066W	31.8	35.8
YHR067W	5.4	4.5
YHR068W	206	252.8
YHR069C	38.1	35.1
YHR070W	21.2	29.8
YHR071W	14.8	7.7
YHR072W	15	19.5
YHR072W-A	731.8	354.4
YHR073W	9.8	10.6
YHR074W	23.7	47.8
YHR075C	4.1	3.8
YHR076W	30.7	32.8
YHR077C	4.9	8.1
YHR078W	3.6	5.3
YHR079C	1.8	2.5
YHR079C-A	0.1	0.1
YHR080C	0.9	1
YHR081W	42.7	42.1
YHR082C	6.6	9
YHR083W	16.4	20.4
YHR084W	11.6	14.5
YHR085W	14.6	16
YHR086W	11.4	9.7
YHR086W-A	1	0.2
YHR087W	18.8	24.4
YHR088W	50.6	53.7
YHR089C	234.7	271
YHR090C	13.3	11
YHR091C	2.2	2.9
YHR092C	24.6	31.4
YHR094C	88.5	105.6
YHR096C	4.8	7
YHR097C	28.8	19.7
YHR098C	30.9	43.1
YHR099W	7.9	13
YHR100C	16.5	12.7
YHR101C	11.4	10.3
YHR102W	7.7	7.2
YHR103W	13.1	14.6
YHR104W	50	72.5
YHR105W	11.6	8.2
YHR106W	6.8	6.9
YHR107C	53.1	58.3
YHR108W	80.9	71
YHR109W	2.8	2.8
YHR110W	20.6	23.9
YHR111W	28.7	27.9
YHR112C	16.4	16.5
YHR113W	37.3	38.8
YHR114W	11.6	21.2
YHR115C	22.7	23
YHR116W	20	12.9
YHR117W	15	26
YHR118C	10.7	8.7
YHR119W	4.4	3.9
YHR120W	2.4	3.3
YHR121W	61.8	47.7
YHR122W	60	40.4
YHR123W	27.7	31.6
YHR124W	0.5	0.4
YHR126C	9.4	8.3
YHR127W	43.1	32.6
YHR128W	277.2	231
YHR129C	2.7	5.3
YHR131C	1.9	2.1
YHR132C	34.2	73.3
YHR132W-A	90.4	43.4
YHR133C	76.1	73.4
YHR134W	4.5	4.2
YHR135C	33.3	47.9
YHR136C	211.6	112.3
YHR137W	87	54.2
YHR138C	34.2	20.8
YHR139C	0.2	0.2
YHR140W	1.1	2.1
YHR141C	3732.5	3583
YHR142W	23.3	30.9
YHR143W	167.8	203
YHR143W-A	254.8	222.7
YHR144C	33.5	16.1
YHR146W	163.3	134.2
YHR147C	31.5	30.8
YHR148W	56.5	54.1
YHR149C	9.8	13.6
YHR150W	2.6	2.5
YHR151C	4.9	5
YHR152W	58.1	43.3
YHR153C	3	2.7
YHR154W	8.3	10.1
YHR155W	2.3	3.7
YHR156C	6	4.8
YHR157W	0.5	0.6
YHR158C	14.8	16.1
YHR159W	4.1	4.3
YHR160C	0.3	0.3
YHR161C	17	12
YHR162W	433.7	327.8
YHR163W	79.5	70.7
YHR164C	3.4	2.6
YHR165C	4	6
YHR166C	6.8	6.3
YHR167W	19.7	14.5
YHR168W	3.1	3.8
YHR169W	20.1	24.9
YHR170W	40.2	62.8
YHR171W	3.6	3.3
YHR172W	3.9	5.7
YHR173C	0.5	0.2
YHR174W	13832.1	18013.7
YHR175W	503.7	188.5
YHR175W-A	32.7	28.5
YHR176W	1.1	1.4
YHR177W	0.4	0.8
YHR178W	2.5	2.6
YHR179W	445.9	604.8
YHR181W	126.9	57.5
YHR182W	2.6	3.2
YHR183W	440.9	544.4
YHR184W	1.1	1.3
YHR185C	0.4	0
YHR186C	12.8	13.1
YHR187W	23.9	21.2
YHR188C	21.4	35.6
YHR189W	6.5	3.9
YHR190W	93.3	122
YHR191C	20.2	20.4
YHR192W	24.7	21.2
YHR193C	700	1655.3
YHR194W	1.6	1.3
YHR195W	12.8	8.2
YHR196W	33.2	27.7
YHR197W	15.7	19.1
YHR198C	12.1	9.8
YHR199C	21.1	20.4
YHR199C-A	28.4	17.9
YHR200W	191.6	134.8
YHR201C	43.6	44.6
YHR202W	2.4	3.6
YHR203C	3518.5	3898
YHR204W	2.8	5.5
YHR205W	21.2	31.9
YHR206W	15	15.6
YHR207C	23	19.9
YHR208W	941.7	446.6
YHR209W	10.3	2.7
YHR210C	1	0.7
YHR211W	0.3	0.1
YHR212W-A	0.1	0.1
YHR213W	0.1	0
YHR213W-A	0	0
YHR213W-B	0	0
YHR214C-D	0.1	0.1
YHR214C-E	0.4	0.4
YHR214W	10.6	7.5
YHR215W	322.8	550.9
YHR216W	34.2	67.9
YHR218W	0.2	0.3
YHR219W	0	0
YIL001W	4.6	4.3
YIL002C	2	3.3
YIL002W-A	144.4	63.4
YIL003W	16.3	13.4
YIL004C	47.8	39.8
YIL005W	17.6	24.5
YIL006W	1.9	2.4
YIL007C	15.4	14.2
YIL008W	85.6	84.4
YIL009C-A	2374.8	1614
YIL009W	21.3	23
YIL010W	56.5	50.3
YIL011W	30	19.5
YIL013C	0.3	0.4
YIL014C-A	8.7	5.1
YIL014W	6.8	8.6
YIL015W	81.6	131.1
YIL016W	45.4	40.7
YIL017C	2.6	3
YIL018W	4399.6	4070.1
YIL019W	11.2	24.3
YIL020C	30.6	33.9
YIL021W	70.8	67.3
YIL022W	48.1	55.8
YIL023C	16.4	15.9
YIL024C	1.8	1.1
YIL026C	8.5	10.1
YIL027C	68.9	51.4
YIL029C	1.5	0.6
YIL030C	31.8	47.3
YIL031W	1.7	2.2
YIL033C	88.6	66.9
YIL034C	63	70.1
YIL035C	29.1	31.5
YIL036W	35	24.6
YIL037C	0.3	0.4
YIL038C	33.2	39.3
YIL039W	37.3	50.9
YIL040W	74.7	55.9
YIL041W	188	201.1
YIL042C	12.6	15.2
YIL043C	131.1	178.9
YIL044C	54.3	49.5
YIL045W	3.8	3.1
YIL046W	8.6	10
YIL046W-A	0.7	2.6
YIL047C	10.2	15.7
YIL048W	7.8	9.6
YIL049W	6	8.1
YIL050W	21.4	17.8
YIL051C	1044.9	1172.7
YIL052C	2756.8	2878.2
YIL053W	1107.2	1348.2
YIL054W	1.3	0.5
YIL055C	3.2	2.2
YIL056W	6	4.4
YIL057C	0.2	0
YIL060W	8	6.4
YIL061C	14	15.3
YIL062C	152.9	187.8
YIL063C	39.6	56.6
YIL064W	23.2	36.1
YIL065C	28.4	37.9
YIL066C	0.9	1.8
YIL067C	4.2	6.1
YIL068C	8.9	8.8
YIL069C	3501.2	3131.5
YIL070C	58.6	44
YIL071C	2.3	1.5
YIL072W	0.3	0.2
YIL073C	0	0.1
YIL074C	82.7	75.2
YIL075C	100.1	102.5
YIL076W	101.8	96.6
YIL077C	9.5	5.9
YIL078W	496.4	441.7
YIL079C	22	20.4
YIL083C	29.5	33.2
YIL084C	14	11
YIL085C	7.7	14.4
YIL087C	17.7	15
YIL088C	17.2	22
YIL089W	3.3	1.5
YIL090W	9.5	15.6
YIL091C	20.9	21.6
YIL092W	2	2
YIL093C	22.5	18.4
YIL094C	130.4	109.5
YIL095W	5.6	5.7
YIL096C	9.6	10.7
YIL097W	3.4	2.8
YIL098C	20.3	16.2
YIL099W	0.3	0.1
YIL101C	1.4	1.5
YIL102C	0.1	0
YIL102C-A	19.3	9.1
YIL103W	17.6	21
YIL104C	13.8	14.9
YIL105C	21.6	14.7
YIL105W-A	7.5	4.1
YIL106W	30.3	28.6
YIL107C	3.8	4.4
YIL108W	19.4	20.1
YIL109C	118.5	121.1
YIL110W	19	21.6
YIL111W	40.5	38.8
YIL112W	10.7	10.6
YIL113W	4.1	1.9
YIL114C	11.8	16.6
YIL115C	39.9	42.5
YIL116W	204.5	55.3
YIL117C	108.7	44.5
YIL118W	81.4	66.3
YIL119C	25.3	13.9
YIL120W	0.7	0.6
YIL121W	17.4	18.4
YIL122W	3.8	3.9
YIL123W	303.3	480.6
YIL124W	81.7	72.5
YIL125W	33.5	46.1
YIL126W	16.4	21.1
YIL127C	47.5	36.9
YIL128W	12.1	14.2
YIL129C	5.2	8.3
YIL130W	12	10.3
YIL131C	17.5	20.6
YIL132C	3.4	3.2
YIL133C	1305.1	1374.6
YIL134C-A	7.4	5.5
YIL134W	3.4	2.7
YIL135C	32.5	23.5
YIL136W	13.4	12.3
YIL137C	34.6	42.3
YIL138C	109.4	136
YIL139C	2.2	2.8
YIL140W	19.8	27.1
YIL142W	178.3	147.9
YIL143C	13.2	16.8
YIL144W	9.1	7.2
YIL145C	47	40.9
YIL146C	1.2	1.6
YIL147C	4.2	5.9
YIL148W	4250	3863.2
YIL149C	4.4	4.8
YIL150C	4.2	5.3
YIL151C	3.4	3.9
YIL152W	7.1	6.4
YIL153W	12.1	15.8
YIL154C	22.4	31.9
YIL155C	7.9	11.1
YIL156W	6.4	7.8
YIL156W-B	98.5	77.9
YIL157C	45.8	36
YIL158W	20.7	16.4
YIL159W	2.3	2.3
YIL160C	0.1	0.1
YIL161W	9.3	6.7
YIL162W	11.8	20.1
YIL163C	1.2	0.5
YIL164C	9.6	0.5
YIL165C	6.6	0.3
YIL166C	0.6	0.4
YIL169C	11.9	10.1
YIL172C	0.6	0.6
YIL173W	2.2	2.9
YIL176C	0.1	0.1
YIL177C	0.1	0.1
YIR001C	38.5	32
YIR002C	1.6	3.2
YIR003W	23.2	29.4
YIR004W	37	32.6
YIR005W	26.6	7.9
YIR006C	70	91
YIR007W	27.8	20.7
YIR008C	21.3	20.6
YIR009W	34.6	18.1
YIR010W	8.6	9.1
YIR011C	38.2	24.7
YIR012W	106.4	108.1
YIR013C	0.2	0
YIR014W	4.5	5.2
YIR015W	17.7	11.2
YIR016W	0.5	0.2
YIR017C	9.3	4.5
YIR018C-A	0.2	0
YIR018W	10.3	10.4
YIR019C	0	0
YIR020C	0.1	0.1
YIR021W	5.4	7.2
YIR021W-A	66.8	79.9
YIR022W	61.9	67.2
YIR023W	5.5	7.1
YIR024C	10.7	9.2
YIR025W	5.3	4.9
YIR026C	21.4	35.1
YIR027C	0.3	0.4
YIR028W	0.2	0.2
YIR029W	0.6	0.7
YIR030C	5.9	5.6
YIR031C	0.9	0.6
YIR032C	0.8	1.1
YIR033W	11	12.8
YIR034C	131.8	49.2
YIR035C	27.8	26.1
YIR036C	39.1	41.7
YIR037W	199.8	231.1
YIR038C	25	34.2
YIR039C	0.7	1.1
YIR041W	0.2	0.2
YIR042C	1.1	1.2
YJL001W	160.2	181
YJL002C	81.3	105.1
YJL003W	28.7	16.7
YJL004C	15.1	28.9
YJL005W	5.7	6.6
YJL006C	13.9	10.3
YJL008C	128.8	143.5
YJL010C	33.1	32.2
YJL011C	59.2	36.4
YJL012C	219.6	224
YJL013C	10.9	7.5
YJL014W	147.6	166.3
YJL016W	2.6	3.9
YJL019W	8.4	11.2
YJL020C	84.3	86.2
YJL023C	4.1	2
YJL024C	1897.9	1067.2
YJL025W	1.5	2
YJL026W	186.7	316.1
YJL027C	0	0
YJL028W	0.1	0
YJL029C	226.4	226.5
YJL030W	23.4	17.7
YJL031C	22.3	16.6
YJL033W	25.7	30.9
YJL034W	316.9	396.4
YJL035C	9.5	7.2
YJL036W	16.7	14.6
YJL037W	0.2	0.4
YJL038C	0.3	0.3
YJL039C	13.7	20.6
YJL041W	88	133.6
YJL042W	8.1	12.2
YJL043W	0.2	0.2
YJL044C	10.5	12.7
YJL045W	0.3	0.3
YJL046W	2.6	5.6
YJL047C	3.5	4.4
YJL047C-A	338.2	6.4
YJL048C	8.8	5.9
YJL049W	7.4	5.8
YJL050W	54.4	67.9
YJL051W	3.4	4.5
YJL052C-A	0	0
YJL052W	2449.1	3792.6
YJL053W	20.2	23.5
YJL054W	22.4	24.9
YJL055W	75.2	92.8
YJL056C	3.1	4.3
YJL057C	3.4	2.9
YJL058C	3.7	3.6
YJL059W	3.9	6.4
YJL060W	38.2	31.3
YJL061W	12.8	13.3
YJL062W	15.2	21.7
YJL062W-A	110.2	78.8
YJL063C	30.3	34
YJL065C	46.3	31.3
YJL066C	28	22.6
YJL068C	58.6	57.4
YJL069C	33.6	31.5
YJL070C	3.3	3.3
YJL071W	6	4
YJL072C	31.4	17.4
YJL073W	6.9	8.3
YJL074C	11.2	14.1
YJL076W	36.8	43.5
YJL077C	0.9	0.3
YJL077W-A	8.6	4.8
YJL077W-B	0.2	0.4
YJL078C	80.1	61.1
YJL079C	50.3	58.9
YJL080C	184.3	276.6
YJL081C	12.1	18.5
YJL082W	6.7	8.6
YJL083W	5	4.2
YJL084C	6.3	6.7
YJL085W	10.2	9.9
YJL087C	10.4	10.3
YJL088W	30.2	1.3
YJL089W	0.2	0
YJL090C	1.7	2.2
YJL091C	14.2	17.8
YJL092W	1.8	3.2
YJL093C	3.4	3.9
YJL094C	5.1	7.7
YJL095W	2.7	3.5
YJL096W	27.5	24.9
YJL097W	95.2	93.9
YJL098W	10.8	16.1
YJL099W	6.2	5.4
YJL100W	2.6	3.1
YJL101C	11.7	14.3
YJL102W	255.1	106.6
YJL103C	0.5	0.6
YJL104W	48	66.8
YJL105W	0.1	0
YJL106W	0	0
YJL107C	6.9	3.9
YJL108C	2.8	1.3
YJL109C	16.5	26.2
YJL110C	17.7	12.8
YJL111W	111.5	124.3
YJL112W	4.7	5.4
YJL115W	31.4	38.9
YJL116C	4.6	6.3
YJL117W	142.2	156.9
YJL118W	3.2	3.9
YJL121C	174.2	210.9
YJL122W	100.8	73.1
YJL123C	45.7	74.3
YJL124C	86	77.2
YJL125C	22.6	21.1
YJL126W	7	8.8
YJL127C	3.1	5.6
YJL127C-B	41.3	14.5
YJL128C	26.6	26.6
YJL129C	2.5	3.3
YJL130C	75	115.6
YJL131C	5.9	5.1
YJL132W	1.5	1.7
YJL133C-A	55.9	40.8
YJL133W	10.6	10.9
YJL134W	25.3	26.3
YJL136C	2180.7	2425.3
YJL136W-A	0	0.5
YJL137C	9.2	7.7
YJL138C	1706.4	1801.7
YJL139C	5.3	5.1
YJL140W	59.4	64.6
YJL141C	9.6	8.9
YJL143W	122.6	150.5
YJL144W	19.4	10.5
YJL145W	87	79
YJL146W	12.6	11.9
YJL147C	3	3.1
YJL148W	112.2	87.6
YJL149W	8	6.4
YJL151C	241.9	175.7
YJL153C	0.3	0.4
YJL154C	14.3	20.1
YJL155C	9.8	8.2
YJL156C	13.2	12.2
YJL157C	18.5	21.8
YJL158C	1254	1451.6
YJL159W	3843.1	3206.6
YJL160C	1.5	0.5
YJL161W	2.7	1.2
YJL162C	3.4	3.5
YJL163C	2	2
YJL164C	11.3	13.2
YJL165C	15.3	14.6
YJL166W	181.6	144
YJL167W	127.7	361.2
YJL168C	18.2	17
YJL170C	12.2	10.2
YJL171C	99.2	91.8
YJL172W	92.8	110.2
YJL173C	104.3	89.3
YJL174W	135.2	114.2
YJL176C	31	27.5
YJL177W	1771.2	1678.3
YJL178C	57.6	68.5
YJL179W	87.3	46.4
YJL180C	11.5	12.3
YJL181W	2.7	3.1
YJL183W	34.7	50.3
YJL184W	84.2	61.2
YJL185C	3.3	2
YJL186W	53.3	74.4
YJL187C	3.5	4.8
YJL189W	5269.6	3232.4
YJL190C	3245.9	3250.2
YJL191W	1879.7	1195.8
YJL192C	77.4	82.9
YJL193W	7.4	8.9
YJL194W	7.2	9.3
YJL196C	79.8	89.5
YJL197W	7.4	10.4
YJL198W	17.1	21.8
YJL200C	73.1	37.5
YJL201W	11	10.7
YJL203W	21.8	17
YJL204C	10.6	7.9
YJL205C	55.9	34.9
YJL206C	3.9	2.8
YJL207C	5	7.4
YJL208C	18.3	18.3
YJL209W	1.6	2.1
YJL210W	10.7	11.4
YJL212C	23	39.8
YJL213W	0.9	0
YJL214W	1.2	0.6
YJL216C	0	0
YJL217W	51.7	92.6
YJL218W	8.4	9.7
YJL219W	0.3	0.2
YJL221C	0.6	0.6
YJL222W	2.3	3.1
YJL223C	0.1	0.2
YJL225C	0.1	0.2
YJR001W	30.6	32.4
YJR002W	21.6	48.1
YJR003C	7.9	10.7
YJR004C	2.6	0.6
YJR005C-A	0.4	0.1
YJR005W	8.1	10
YJR006W	10.6	11.5
YJR007W	179.8	202.6
YJR008W	2.3	1.9
YJR009C	6326.6	9043.4
YJR010C-A	81.3	72.9
YJR010W	5.3	6.7
YJR011C	9.1	8
YJR012C	6.7	8.1
